"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"30 Cyg","20h 13m 18.0s","+46d 48m 56.4s","ACV:","4.8 V","4.8 V","2.9384","","type_cv"
"36 Dra","18h 13m 53.8s","+64d 23m 50.2s","UV","5.0 V","5.0 V","","yes",""
"50 Cas","02h 03m 26.1s","+72d 25m 16.6s","ELL:","4.0 V","4.0 V","1.596778","","mid_period"
"AC Dra","20h 20m 6.0s","+68d 52m 49.1s","LB","5.9 V","5.7 V","36.6062","","mid_period"
"AF Dra","20h 31m 30.4s","+74d 57m 16.6s","ACV","5.2 V","5.2 V","20.2747","","mid_period"
"AF UMi","17h 00m 24.5s","+80d 36m 38.8s","RRAB","13.5 V","12.8 V","0.69112","","type_rr"
"alf And","00h 08m 23.3s","+29d 05m 25.6s","ACV","2.1 V","2.1 V","2.382","yes","mid_period"
"alf Cam","04h 54m 3.0s","+66d 20m 33.7s","VAR","4.3 V","4.3 V","0.08849","","short_period"
"alf Cas","00h 40m 30.5s","+56d 32m 14.5s","ROT:","2.2 V","2.2 V","2.4124","yes","mid_period"
"alf Cep","21h 18m 34.8s","+62d 35m 8.1s","DSCT","2.5 V","2.5 V","0.0498","yes","short_period"
"alf Cyg","20h 41m 25.9s","+45d 16m 49.2s","ACYG","1.3 V","1.2 V","","yes",""
"alf UMi","02h 31m 49.1s","+89d 15m 50.8s","DCEPS","2.0 V","2.0 V","3.97204","yes","mid_period"
"AQ Cep","08h 22m 43.9s","+86d 04m 51.8s","RRAB","13.3 V","12.2 V","0.6514463","","type_rr"
"AR Cas","23h 30m 1.9s","+58d 32m 56.1s","EA/DM","5.0 V","4.8 V","6.0663335","","type_ea"
"AR Cep","22h 51m 33.9s","+85d 02m 47.0s","SRB","7.9 V","7.0 V","364","","long_period"
"ASAS J001131+1939.6","00h 11m 30.8s","+19d 39m 36.7s","RRC|EC","9.9 V","9.7 V","0.295282","","type_rr"
"ASASSN-V J002356.47+424707.8","00h 23m 56.5s","+42d 47m 7.8s","NL","12.8 V","12.2 V","","","type_na"
"ASASSN-V J032835.37+823637.7","03h 28m 35.4s","+82d 36m 37.7s","RRC","12.3 V","12.1 V","0.261184","","type_rr"
"ASASSN-V J035631.69+792825.6","03h 56m 31.7s","+79d 28m 25.5s","RRC","12.4 V","12.3 V","0.21643","","type_rr"
"ASASSN-V J051325.51+794727.2","05h 13m 25.5s","+79d 47m 27.2s","RRC","11.0 V","10.9 V","0.453679","","type_rr"
"ASASSN-V J093011.08+851117.4","09h 30m 11.1s","+85d 11m 17.4s","SR","11.4 V","10.9 V","51.02","","type_m"
"ASASSN-V J113845.78+762254.2","11h 38m 45.8s","+76d 22m 54.1s","RRAB","13.9 V","13.3 V","0.593411","","type_rr"
"ASASSN-V J123646.29+791248.0","12h 36m 46.3s","+79d 12m 48.1s","SR","11.4 V","11.1 V","591","","type_m"
"ASASSN-V J124132.56+753250.0","12h 41m 32.6s","+75d 32m 50.0s","SR","11.3 V","11.1 V","45.25","","type_m"
"ASASSN-V J125607.09+700241.2","12h 56m 7.1s","+70d 02m 41.3s","SR","12.0 V","11.6 V","393","","type_m"
"ASASSN-V J131550.74+692949.4","13h 15m 50.7s","+69d 29m 49.5s","RRC","12.3 V","12.2 V","0.407811","","type_rr"
"ASASSN-V J150744.20+845707.4","15h 07m 44.1s","+84d 57m 7.5s","SR","11.5 V","10.6 V","51.46","","type_m"
"ASASSN-V J151240.67+692005.8","15h 12m 40.7s","+69d 20m 5.9s","SR","11.1 V","10.9 V","517","","long_period"
"ASASSN-V J152544.10+795959.7","15h 25m 44.1s","+79d 59m 59.7s","SR","11.6 V","11.3 V","67.31","","type_m"
"ASASSN-V J155152.00+712901.9","15h 51m 52.0s","+71d 29m 1.9s","SR","11.6 V","11.2 V","78.214937","","type_m"
"ASASSN-V J172936.67+652940.1","17h 29m 36.7s","+65d 29m 40.1s","RRC","14.0 V","13.9 V","0.400702","","type_rr"
"AW Cam","06h 47m 28.8s","+69d 37m 44.8s","EB/KE","8.7 V","8.2 V","0.7713468","","type_ea"
"AZ Cyg","20h 57m 59.4s","+46d 28m 0.6s","SRC","9.6 V","7.8 V","471","","type_src"
"AZ Dra","16h 40m 42.5s","+72d 40m 18.0s","SRB","7.4 V","6.8 V","357","","long_period"
"BB UMi","16h 11m 41.4s","+70d 47m 26.2s","SRA","11.2 V","10.8 V","50","","type_m"
"BC Cyg","20h 21m 38.5s","+37d 31m 59.0s","SRC","10.1 V","9.0 V","700","","type_src"
"BD Cam","03h 42m 9.3s","+63d 13m 0.5s","ZAND+SRS","5.4 V","5.0 V","24.76","","type_cv"
"BD UMi","15h 32m 57.5s","+70d 42m 15.8s","EA+GDOR","9.4 V","9.1 V","16.257","","type_ea"
"BE Cam","03h 49m 31.3s","+65d 31m 33.5s","LC","4.6 V","4.3 V","","","type_lc"
"bet And","01h 09m 43.9s","+35d 37m 14.0s","LB","2.1 V","2.0 V","","yes","type_lc"
"bet Cas","00h 09m 10.7s","+59d 08m 59.2s","DSCTC","2.3 V","2.3 V","0.101036676","yes","short_period"
"bet Cep","21h 28m 39.6s","+70d 33m 38.6s","BCEP","3.3 V","3.2 V","0.1904898","yes","short_period"
"bet Lyr","18h 50m 4.8s","+33d 21m 45.6s","DPV:/EB","4.3 V","3.3 V","12.944","yes","famous|mid_period"
"bet Peg","23h 03m 46.5s","+28d 04m 58.0s","SR","2.7 V","2.3 V","43.3","yes","mid_period"
"bet Per","03h 08m 10.1s","+40d 57m 20.4s","EA/SD","3.3 V","2.1 V","2.867343","yes","famous|mid_period"
"bet UMi","14h 50m 42.3s","+74d 09m 19.8s","ORG:","2.1 V","2.1 V","14.83","yes","mid_period"
"BF Cyg","19h 23m 53.5s","+29d 40m 29.2s","ZAND","13.5 V","9.1 V","755","yes","famous|long_period"
"BG Tri","01h 44m 47.6s","+32d 32m 59.9s","NL/VY","13.7 V","11.5 V","","","type_na"
"BH Cam","05h 55m 2.4s","+64d 58m 42.5s","LB","2.5 V","2.4 V","","","type_lc"
"BN Cam","05h 12m 22.5s","+73d 56m 48.0s","ACV","5.5 V","5.4 V","2.73475","","mid_period"
"BU Gem","06h 12m 19.1s","+22d 54m 30.7s","SRC","7.4 V","5.7 V","460","","type_src"
"CE Tau","05h 32m 12.7s","+18d 35m 39.3s","SRC","4.6 V","4.2 V","","","type_src"
"CN Cam","11h 36m 11.8s","+81d 17m 37.1s","RRAB/BL","9.9 V","9.5 V","0.6214465","","type_rr"
"CN Dra","19h 46m 44.7s","+68d 26m 16.8s","DSCTC","6.4 V","6.3 V","0.1","","short_period"
"CO Aur","06h 00m 28.5s","+35d 18m 43.8s","DCEPS(B)","8.1 V","7.5 V","1.7841","","type_cep"
"CO Cam","12h 12m 11.9s","+77d 36m 58.5s","EB","5.2 V","5.1 V","1.27095","","mid_period"
"CQ Cam","03h 24m 40.6s","+64d 35m 9.6s","LC","5.3 V","5.1 V","","","type_lc"
"CQ Dra","12h 30m 6.7s","+69d 12m 4.0s","ZAND:","5.1 V","4.9 V","1703","yes","long_period"
"CS Cam","03h 29m 4.1s","+59d 56m 25.2s","ACYG","4.3 V","4.2 V","26.76","","mid_period"
"CzeV1713","21h 28m 5.4s","+65d 53m 49.6s","SR","9.2 V","8.2 V","","","type_m"
"CzeV3433","20h 12m 16.8s","+52d 17m 4.7s","SR","8.7 V","8.7 V","11.9","","type_m"
"DD Dra","18h 44m 4.6s","+60d 46m 12.7s","RRC","11.0 V","10.5 V","0.326835","","type_rr"
"DD Lac","22h 41m 28.7s","+40d 13m 31.6s","BCEP+SPB","5.3 V","5.2 V","0.1930924","","type_cep"
"DE Dra","20h 19m 36.7s","+62d 15m 26.9s","EA/DM","5.9 V","5.7 V","5.298036","","type_ea"
"del Cas","01h 25m 49.0s","+60d 14m 7.0s","EA:","2.8 V","2.7 V","759","","long_period"
"del Cep","22h 29m 10.3s","+58d 24m 54.7s","DCEP","4.4 V","3.5 V","5.36629","yes","mid_period"
"del Dra","19h 12m 33.3s","+67d 39m 41.5s","ORG","3.1 V","3.1 V","","yes",""
"DI Cam","04h 28m 42.1s","+79d 42m 6.9s","EA","8.1 V","7.8 V","4.1659","","type_ea"
"DI Dra","10h 21m 16.0s","+78d 45m 51.5s","ACV","8.2 V","8.2 V","18","","type_cv"
"DK Cam","04h 27m 3.5s","+71d 46m 52.9s","EA+SPB","7.8 V","7.6 V","17.1052","","type_ea"
"DK Dra","12h 15m 41.5s","+72d 33m 4.3s","RS","6.5 V","6.3 V","63.15","","mid_period"
"DK UMa","09h 34m 28.9s","+69d 49m 49.2s","RS:","4.6 V","4.6 V","0.9202","","short_period"
"DL UMa","09h 36m 40.9s","+69d 38m 11.8s","DSCT","7.2 V","7.2 V","0.0954843","","short_period"
"DM Cep","22h 08m 16.4s","+72d 46m 6.7s","SRB","7.4 V","7.0 V","367","","long_period"
"DN Cam","04h 42m 46.2s","+72d 58m 41.9s","EW","8.7 V","8.2 V","0.4983104","","type_ea"
"DR Dra","17h 32m 41.2s","+74d 13m 38.5s","RS","6.7 V","6.5 V","26.74","","mid_period"
"EE Dra","18h 58m 52.6s","+69d 31m 52.6s","ACV","5.9 V","5.8 V","1.1232524","","mid_period"
"EI Cam","06h 02m 16.3s","+66d 53m 58.9s","LB:","7.2 V","7.1 V","16.01","","type_lc"
"EN Lac","22h 56m 23.6s","+41d 36m 13.9s","EA+BCEP","5.7 V","5.6 V","12.09684","","type_cep"
"EN UMa","10h 21m 3.3s","+68d 44m 51.5s","DSCT","5.9 V","5.8 V","0.155476","","short_period"
"eps Cep","22h 15m 2.2s","+57d 02m 36.9s","DSCTC","4.2 V","4.2 V","0.041242","","short_period"
"eps UMi","16h 45m 58.3s","+82d 02m 14.2s","EA/D/RS","4.2 V","4.2 V","39.4809","yes","mid_period"
